Entry_No,Date,Description,WorkDescription,Contact_No,Contact_Name,Contact_Company_Name,Duration_Min,Salesperson_Code,User_ID,Quote_ID,Quote_Amount,Quote_Age_Days,Customer_Type,Source_Channel,Product_Type,Past_Interactions,Prior_Orders,Salesperson,Lead_Priority
1379,2025-05-02,Service call,Upgrade system,42335694,Elizabeth Hicks,Valencia PLC,131,514,335,Q1478,253742,17,Corporate,Shopify,High-margin,1 (visit),8,PMMULWA,Medium Priority
1380,2025-03-26,Installation request,Upgrade system,77969919,Theresa Rios,Montgomery PLC,139,369,317,Q1479,88444,0,Individual,Website,Low-margin,"6 (calls, visits, emails)",6,PMKILONZO,Medium Priority
1381,2024-11-01,Consultation,Inspect equipment,60262863,Rebecca Lopez,Glass-Lewis,152,445,361,Q1480,60032,25,Corporate,Walk-in,Low-margin,1 (visit),1,PMNYABUTO,Low Priority
1382,2024-12-10,Service call,Repair machinery,53222952,Jacob Gray,Lester LLC,86,369,395,Q1481,392774,12,Contractor,FloApp,High-margin,1 (visit),3,PMOMONDI,Medium Priority
1383,2025-03-10,Consultation,Inspect equipment,61543087,Michael Simpson,Horton-Taylor,159,106,301,Q1482,184039,28,Individual,FloApp,Mixed,"4 (calls, visits)",6,PMNYABUTO,Low Priority
1384,2025-04-23,Consultation,Upgrade system,15892501,Steven Roberts,"Calderon, Thomas and Salas",132,858,327,Q1483,76929,5,Reseller,Referral,Low-margin,"5 (calls, visits)",2,PMNYABUTO,Medium Priority
1385,2025-03-10,Consultation,Repair machinery,26828396,Christopher Young,"Matthews, Molina and Flores",140,369,397,Q1484,60648,15,Government,Website,Low-margin,2 (calls),13,PMMULWA,Medium Priority
1386,2024-11-12,Service call,Inspect equipment,94274330,Patrick Phillips,Williams-Lozano,114,514,396,Q1485,251424,1,NGO,Shopify,High-margin,"6 (calls, visits, emails)",11,PMKILONZO,Medium Priority
1387,2024-05-28,Installation request,Repair machinery,63479838,Jared Johnston,Austin-Parker,42,858,378,Q1486,439432,16,Reseller,Email,Mixed,"6 (calls, visits, emails)",5,PMNYABUTO,Medium Priority
1388,2025-03-06,Consultation,Inspect equipment,15637116,Angela Stout,Gilbert Ltd,137,514,355,Q1487,339479,0,Reseller,Website,Low-margin,"6 (calls, visits, emails)",4,PMAMAI,Medium Priority
1389,2024-10-31,Installation request,Inspect equipment,95412305,Ryan Bridges,Harris Ltd,110,445,359,Q1488,365874,25,NGO,FloApp,Mixed,"5 (calls, visits)",10,PMMULWA,Medium Priority
1390,2024-08-30,Installation request,Upgrade system,28434417,Joseph Johnson,Mcbride Ltd,108,106,388,Q1489,318699,29,Corporate,Referral,Low-margin,"5 (calls, visits)",4,PMKILONZO,Medium Priority
1391,2024-10-10,Installation request,Install product,64373318,Brian Larson,"Owens, Murillo and Patrick",135,445,368,Q1490,296055,19,Corporate,Website,High-margin,"3 (calls, visits)",8,PMMULWA,Medium Priority
1392,2024-10-03,Consultation,Repair machinery,03069445,George Hansen,"Stewart, Lam and Hernandez",90,445,330,Q1491,321754,6,NGO,FloApp,High-margin,"3 (calls, visits)",13,PMMULWA,Medium Priority
1393,2024-08-15,Installation request,Upgrade system,18287686,Donald Byrd,Juarez Inc,178,369,398,Q1492,346416,28,Individual,Email,High-margin,"6 (calls, visits, emails)",11,PMOMONDI,Medium Priority
1394,2025-01-11,Consultation,Inspect equipment,93280662,Tina Baker,Chen-Medina,62,858,374,Q1493,297688,5,Contractor,Email,Low-margin,"3 (calls, visits)",7,PMNYABUTO,Medium Priority
1395,2025-03-24,Consultation,Inspect equipment,09100446,Megan Pena,"Andrews, Henry and Moore",56,858,347,Q1494,153782,12,Reseller,Email,High-margin,"5 (calls, visits)",14,PMOMONDI,High Priority
1396,2025-01-21,Installation request,Repair machinery,70007640,Karl Fritz,"Colon, Perez and Stone",75,106,309,Q1495,157401,3,Reseller,Referral,Mixed,1 (visit),2,PMNYABUTO,Medium Priority
1397,2024-12-28,Installation request,Upgrade system,41226005,Janet Torres,"Meyer, Davila and Williams",126,106,374,Q1496,455523,8,Government,Referral,High-margin,"3 (calls, visits)",1,PMKILONZO,Medium Priority
1398,2024-10-08,Consultation,Upgrade system,29510548,Connie Lee,Burton Inc,162,514,360,Q1497,254204,12,NGO,Website,High-margin,1 (visit),11,PMAMAI,Medium Priority
1399,2024-12-04,Service call,Install product,80947686,Tara Howard,"Smith, Alvarez and Mckenzie",81,514,370,Q1498,305610,8,Individual,Website,Mixed,"6 (calls, visits, emails)",13,PMNYABUTO,Medium Priority
1400,2024-10-26,Service call,Install product,46541354,Jackie Knight,"Meza, Davis and Yu",12,514,343,Q1499,352344,23,NGO,FloApp,High-margin,2 (calls),7,PMOMONDI,Medium Priority
1401,2024-05-29,Consultation,Inspect equipment,04002560,Traci Pena,Schwartz LLC,151,445,330,Q1500,104536,0,Government,Referral,High-margin,2 (calls),5,PMKILONZO,Medium Priority
1402,2025-04-16,Service call,Install product,19966226,Teresa Edwards,"Roberts, Stevens and Lucas",51,514,373,Q1501,413212,19,NGO,Shopify,High-margin,2 (calls),13,PMNYABUTO,Medium Priority
1403,2025-04-14,Service call,Upgrade system,85806535,Dalton Carter,"Jones, Clay and Perry",166,369,322,Q1502,140522,8,Contractor,Website,High-margin,"3 (calls, visits)",13,PMOMONDI,High Priority
1404,2024-10-07,Consultation,Upgrade system,90639928,Jennifer Thomas,Giles-Mcgee,124,369,329,Q1503,77621,27,Contractor,Shopify,Low-margin,"4 (calls, visits)",4,PMKILONZO,Low Priority
1405,2024-05-25,Consultation,Upgrade system,95521582,Alex Marks,Watkins-Sanchez,15,106,397,Q1504,167461,6,Corporate,Shopify,High-margin,"5 (calls, visits)",10,PMMULWA,High Priority
1406,2025-03-08,Service call,Upgrade system,18058053,Richard Nguyen,"Mercer, Williams and Johnson",139,106,349,Q1505,464468,14,Government,Walk-in,High-margin,"6 (calls, visits, emails)",2,PMOMONDI,Medium Priority
1407,2024-07-23,Consultation,Upgrade system,65954757,Mr. John Cunningham,Rodriguez Group,53,858,326,Q1506,139257,10,NGO,Shopify,High-margin,"6 (calls, visits, emails)",9,PMNYABUTO,Medium Priority
1408,2024-08-24,Installation request,Upgrade system,40732456,Beth Torres,Farley PLC,16,106,331,Q1507,363415,22,Contractor,Shopify,Low-margin,1 (visit),12,PMOMONDI,Medium Priority
1409,2024-11-06,Installation request,Inspect equipment,71243328,Lisa Robles,Morris-Rasmussen,107,514,362,Q1508,253742,23,Reseller,Shopify,High-margin,"3 (calls, visits)",11,PMNYABUTO,Medium Priority
1410,2024-08-08,Installation request,Inspect equipment,68489172,Andrew Gonzalez,Middleton PLC,76,858,320,Q1509,113364,7,Government,Email,Low-margin,"5 (calls, visits)",6,PMAMAI,Medium Priority
1411,2025-01-24,Installation request,Inspect equipment,35143260,Charles Washington,Munoz Inc,22,369,311,Q1510,395726,29,Individual,Website,Low-margin,"5 (calls, visits)",1,PMMULWA,Medium Priority
1412,2025-01-21,Service call,Inspect equipment,53840413,Alyssa Moore,Salazar-Tran,125,369,337,Q1511,99257,27,Reseller,FloApp,Mixed,2 (calls),7,PMKILONZO,Medium Priority
1413,2024-08-10,Installation request,Repair machinery,91716243,Norma Parks,Patterson-Moore,143,514,329,Q1512,482079,2,Government,Website,Low-margin,"6 (calls, visits, emails)",5,PMMULWA,Medium Priority
1414,2024-06-15,Consultation,Upgrade system,74712448,Sherry Lynch,Jones Inc,118,369,330,Q1513,34008,25,Individual,Referral,Low-margin,1 (visit),3,PMMULWA,Low Priority
1415,2024-09-15,Service call,Install product,18328601,Joel Elliott,Carroll Group,128,106,397,Q1514,218425,23,Individual,Walk-in,Low-margin,2 (calls),7,PMAMAI,Medium Priority
1416,2024-12-03,Installation request,Repair machinery,36794460,Gregory Bridges,Byrd PLC,79,106,302,Q1515,287622,16,Contractor,Shopify,High-margin,1 (visit),15,PMNYABUTO,Medium Priority
1417,2024-12-25,Service call,Repair machinery,66088609,William Wilkins,Bishop-Martinez,165,445,373,Q1516,435600,8,Reseller,Walk-in,High-margin,"6 (calls, visits, emails)",3,PMNYABUTO,Medium Priority
1418,2024-10-04,Service call,Install product,75677264,Tracy Flowers,Martin-Powell,27,858,317,Q1517,25300,9,Reseller,Referral,Low-margin,"6 (calls, visits, emails)",12,PMOMONDI,Medium Priority
1419,2024-05-10,Consultation,Upgrade system,95520890,Samuel Boyer,Kline Group,144,858,382,Q1518,297449,11,Government,Referral,Low-margin,"6 (calls, visits, emails)",12,PMMULWA,Medium Priority
1420,2024-09-09,Consultation,Upgrade system,80715936,Teresa York,Henderson-Lynch,52,106,363,Q1519,91186,25,Contractor,Walk-in,High-margin,"3 (calls, visits)",9,PMAMAI,Medium Priority
1421,2024-08-31,Consultation,Upgrade system,75946717,Paul Dudley,Miller-Lindsey,107,858,338,Q1520,220886,0,NGO,Shopify,High-margin,1 (visit),6,PMKILONZO,Medium Priority
1422,2025-02-14,Consultation,Repair machinery,92454282,Bill Anderson,"Cowan, Brown and Brown",125,106,397,Q1521,417809,4,Corporate,FloApp,High-margin,2 (calls),0,PMNYABUTO,Medium Priority
1423,2024-12-09,Installation request,Inspect equipment,05119523,Christina Leon,"Wong, Tate and Durham",134,858,359,Q1522,398759,14,NGO,Walk-in,High-margin,"4 (calls, visits)",1,PMNYABUTO,Medium Priority
1424,2024-08-21,Service call,Install product,20944069,Lisa Adams,Mays-Blackwell,85,445,306,Q1523,208791,14,Reseller,Email,Mixed,1 (visit),9,PMMULWA,Medium Priority
1425,2024-10-17,Consultation,Upgrade system,10905782,Ashley Williams,Williams LLC,20,858,308,Q1524,209802,10,Individual,FloApp,Mixed,2 (calls),0,PMAMAI,Medium Priority
1426,2025-01-26,Service call,Inspect equipment,80473471,Miguel Davis,Johnson-Pearson,25,514,365,Q1525,139658,20,Government,FloApp,High-margin,"4 (calls, visits)",10,PMOMONDI,Medium Priority
1427,2024-11-29,Installation request,Inspect equipment,94011516,Melinda Payne,"Moore, Evans and Martin",169,445,336,Q1526,217920,1,Government,Referral,High-margin,"4 (calls, visits)",15,PMKILONZO,High Priority
1428,2024-09-30,Consultation,Install product,91328379,Leslie Hampton,Johnson-Mcdonald,180,106,393,Q1527,417658,18,Government,Website,Mixed,2 (calls),12,PMMULWA,Medium Priority
1429,2024-06-27,Consultation,Upgrade system,70954433,Mary Khan,Baker PLC,172,445,318,Q1528,99559,24,Individual,Website,Low-margin,"3 (calls, visits)",12,PMNYABUTO,Medium Priority
1430,2025-02-05,Service call,Install product,59162222,Philip Watson,Ford-Hurst,87,514,317,Q1529,126970,13,Government,Walk-in,High-margin,2 (calls),13,PMOMONDI,Medium Priority
1431,2025-03-28,Consultation,Inspect equipment,01056758,Amber Avila,Pope-Cox,63,514,308,Q1530,110664,27,Contractor,FloApp,Low-margin,1 (visit),7,PMKILONZO,Low Priority
1432,2024-10-06,Service call,Upgrade system,61356461,Alexis Davis,Smith Group,39,514,385,Q1531,265966,25,NGO,Referral,Low-margin,"3 (calls, visits)",15,PMMULWA,Medium Priority
1433,2024-09-11,Consultation,Inspect equipment,75850246,Marissa Johnson,Moore-Wright,171,445,367,Q1532,106578,21,Corporate,Email,Low-margin,"6 (calls, visits, emails)",8,PMOMONDI,Medium Priority
1434,2025-01-14,Service call,Repair machinery,77729870,Patrick Noble,Bradley-Compton,15,858,361,Q1533,167705,10,Government,FloApp,High-margin,"6 (calls, visits, emails)",12,PMAMAI,Medium Priority
1435,2024-08-06,Consultation,Inspect equipment,70987423,Mathew Cooper,Johnson Ltd,75,514,318,Q1534,315987,7,Individual,Walk-in,High-margin,2 (calls),3,PMOMONDI,Medium Priority
1436,2025-02-10,Consultation,Inspect equipment,88759100,Lawrence Smith,"Young, Vargas and Gomez",115,858,353,Q1535,322047,10,NGO,Website,High-margin,"5 (calls, visits)",15,PMAMAI,High Priority
1437,2025-04-18,Installation request,Install product,51737135,Yolanda Kelly MD,Ray-Valencia,121,858,355,Q1536,105764,13,Reseller,Website,High-margin,"3 (calls, visits)",3,PMMULWA,Medium Priority
1438,2025-01-19,Service call,Upgrade system,18440570,Jason Dunlap,"Pollard, Baker and Peters",135,858,375,Q1537,137212,12,Reseller,Walk-in,High-margin,"5 (calls, visits)",5,PMMULWA,Medium Priority
1439,2024-07-20,Service call,Inspect equipment,84564893,Stephanie Perez,"Johnson, Whitaker and Campbell",161,858,310,Q1538,77774,2,Contractor,Email,High-margin,"5 (calls, visits)",13,PMKILONZO,High Priority
1440,2024-07-16,Service call,Repair machinery,46199073,Frances Johnson,Morris-Miles,23,514,360,Q1539,118099,1,Individual,FloApp,Mixed,"3 (calls, visits)",11,PMOMONDI,Medium Priority
1441,2024-10-23,Service call,Install product,31269827,Cheryl Smith,Ball-Gonzalez,52,445,342,Q1540,77413,1,Government,Website,Mixed,"5 (calls, visits)",0,PMNYABUTO,Medium Priority
1442,2024-11-04,Service call,Upgrade system,15904376,Eric Moon,Johns-Russell,135,514,334,Q1541,336096,9,Government,Referral,High-margin,"5 (calls, visits)",9,PMNYABUTO,High Priority
1443,2024-05-26,Service call,Upgrade system,04701674,Susan Morris,Butler Group,165,445,320,Q1542,362360,24,Corporate,Referral,High-margin,"5 (calls, visits)",7,PMMULWA,High Priority
1444,2024-08-03,Service call,Upgrade system,46791685,Lisa Howard,"Little, Garcia and Lee",96,369,388,Q1543,272810,25,Reseller,FloApp,Mixed,"3 (calls, visits)",9,PMKILONZO,Medium Priority
1445,2024-12-10,Installation request,Repair machinery,28818413,Joshua Howe,"Preston, Smith and Maxwell",89,445,326,Q1544,151186,14,Individual,Email,High-margin,1 (visit),1,PMOMONDI,Medium Priority
1446,2025-01-16,Service call,Repair machinery,61794614,Zachary Roberts,"Johnson, Tate and Robertson",37,858,316,Q1545,103290,23,Contractor,FloApp,Low-margin,"6 (calls, visits, emails)",10,PMOMONDI,Medium Priority
1447,2024-08-30,Service call,Upgrade system,85856136,Jesus Williams,Ferguson LLC,121,858,315,Q1546,362804,21,Corporate,Referral,Low-margin,"3 (calls, visits)",6,PMKILONZO,Medium Priority
1448,2024-12-13,Consultation,Install product,90154422,Shane Hoffman,Villegas-Smith,103,369,350,Q1547,125395,11,Contractor,Website,High-margin,"3 (calls, visits)",12,PMNYABUTO,High Priority
1449,2024-09-13,Installation request,Upgrade system,27176110,William Huffman,Fowler Inc,178,858,400,Q1548,396794,27,NGO,Shopify,High-margin,"3 (calls, visits)",13,PMMULWA,Medium Priority
1450,2024-05-29,Consultation,Repair machinery,48912871,Christopher Terry,Kelly Inc,11,369,332,Q1549,242999,2,Reseller,FloApp,High-margin,2 (calls),7,PMOMONDI,Medium Priority
1451,2024-05-18,Consultation,Upgrade system,34188987,Sierra Salinas,"Irwin, Smith and Zavala",81,369,392,Q1550,119640,13,Contractor,Website,Low-margin,"6 (calls, visits, emails)",10,PMOMONDI,Medium Priority
1452,2024-06-08,Installation request,Inspect equipment,56091111,Matthew Robinson,Davis Inc,10,514,361,Q1551,429523,26,Government,Walk-in,High-margin,"3 (calls, visits)",8,PMOMONDI,Medium Priority
1453,2024-09-17,Installation request,Repair machinery,22540132,Kimberly Williams,"Hoffman, Dean and Williams",121,514,358,Q1552,402019,18,Government,FloApp,Low-margin,"4 (calls, visits)",1,PMMULWA,Low Priority
1454,2024-10-09,Installation request,Install product,92356749,Natasha Oliver,Sheppard Ltd,114,106,380,Q1553,440151,2,Reseller,Shopify,Mixed,"5 (calls, visits)",7,PMMULWA,Medium Priority
1455,2025-04-21,Consultation,Repair machinery,81979173,Karen Beck,"Taylor, Adkins and Campbell",125,445,338,Q1554,492409,20,Contractor,Walk-in,Low-margin,"5 (calls, visits)",8,PMKILONZO,Medium Priority
1456,2024-07-29,Installation request,Install product,39981433,Aaron Mcclure,Patterson PLC,145,369,305,Q1555,141287,30,Reseller,Walk-in,High-margin,"4 (calls, visits)",1,PMAMAI,Medium Priority
1457,2024-05-29,Installation request,Upgrade system,24103408,Amanda Montoya,"Suarez, Allen and Weaver",14,106,393,Q1556,441614,24,Corporate,FloApp,Low-margin,"6 (calls, visits, emails)",1,PMKILONZO,Medium Priority
1458,2024-05-20,Consultation,Repair machinery,06761475,Lynn Nichols,Bond Ltd,146,106,336,Q1557,433774,3,Individual,Shopify,Low-margin,"3 (calls, visits)",5,PMOMONDI,Medium Priority
1459,2024-11-13,Consultation,Repair machinery,29714166,Stephen Murphy,"Martin, Freeman and Buchanan",13,858,310,Q1558,197372,20,Individual,Shopify,High-margin,2 (calls),8,PMNYABUTO,Medium Priority
1460,2025-01-01,Consultation,Inspect equipment,59696563,Heather Bennett,"King, Dixon and Duarte",75,858,320,Q1559,499981,13,Individual,Email,High-margin,1 (visit),9,PMMULWA,Medium Priority
1461,2024-08-26,Consultation,Install product,95989424,Renee Soto,"Pierce, Brown and Gonzalez",29,369,315,Q1560,472233,29,Contractor,Walk-in,High-margin,"3 (calls, visits)",5,PMAMAI,Medium Priority
1462,2025-02-01,Installation request,Inspect equipment,70885635,David Powell,"Lopez, Perez and Liu",41,106,398,Q1561,462880,24,Government,Shopify,Low-margin,"4 (calls, visits)",8,PMAMAI,Low Priority
1463,2024-12-16,Installation request,Install product,91297795,Nicole Giles,Morris PLC,100,369,349,Q1562,447891,6,Government,FloApp,Low-margin,"5 (calls, visits)",2,PMAMAI,Medium Priority
1464,2025-01-05,Service call,Repair machinery,90938319,Anthony Webster,Johnson LLC,97,369,366,Q1563,452408,22,Government,Walk-in,High-margin,"6 (calls, visits, emails)",11,PMAMAI,Medium Priority
1465,2025-02-16,Installation request,Upgrade system,11698323,Shawn Alvarez,Booker-Johnson,120,514,365,Q1564,431775,25,Reseller,Walk-in,High-margin,"5 (calls, visits)",15,PMOMONDI,Medium Priority
1466,2025-03-29,Consultation,Install product,11082931,Jonathan Gonzalez,Wise Inc,68,858,371,Q1565,429141,14,Reseller,FloApp,Low-margin,2 (calls),1,PMAMAI,Medium Priority
1467,2024-12-26,Installation request,Repair machinery,24023538,Jerry Bartlett,Perry PLC,10,106,345,Q1566,33976,21,NGO,Email,High-margin,"6 (calls, visits, emails)",0,PMMULWA,Medium Priority
1468,2025-02-12,Installation request,Install product,55847240,Patricia Duran,Padilla-Williams,44,514,376,Q1567,297899,17,Contractor,Referral,High-margin,"4 (calls, visits)",10,PMAMAI,Medium Priority
1469,2024-05-29,Consultation,Install product,70008975,Michael Collins,Gonzales-Santos,173,445,331,Q1568,188608,17,Reseller,FloApp,High-margin,1 (visit),1,PMMULWA,Medium Priority
1470,2024-09-20,Consultation,Repair machinery,68179710,Benjamin Sanders,"Wyatt, Moore and Anderson",76,858,319,Q1569,172150,10,Reseller,Website,Mixed,"3 (calls, visits)",2,PMKILONZO,Medium Priority
1471,2024-09-15,Installation request,Inspect equipment,90478395,Amanda Lamb DDS,Huff PLC,114,514,303,Q1570,174503,10,Individual,Email,High-margin,2 (calls),3,PMMULWA,Medium Priority
1472,2024-09-30,Service call,Install product,07864901,James Flynn,Peterson LLC,77,445,340,Q1571,490781,3,Individual,Referral,High-margin,1 (visit),7,PMAMAI,Medium Priority
1473,2024-05-10,Installation request,Inspect equipment,34401255,Cody Schneider,Cordova-Rios,150,106,310,Q1572,450500,22,Government,Referral,Mixed,"5 (calls, visits)",9,PMOMONDI,Medium Priority
1474,2024-06-06,Consultation,Inspect equipment,71170782,Ashley Rivera,Davis Ltd,35,858,396,Q1573,46358,9,Reseller,Website,Low-margin,"3 (calls, visits)",1,PMNYABUTO,Medium Priority
1475,2025-04-25,Service call,Install product,37244137,Kristy Mckay,Randall-Baxter,160,514,313,Q1574,492351,15,Contractor,Shopify,Mixed,"4 (calls, visits)",3,PMMULWA,Medium Priority
1476,2025-04-20,Service call,Repair machinery,35413655,Janet Long,Hernandez Inc,30,445,321,Q1575,122061,20,Government,Email,Mixed,"6 (calls, visits, emails)",0,PMKILONZO,Medium Priority
1477,2024-07-26,Service call,Repair machinery,43106054,Debra Bennett,Miller-Weaver,53,106,330,Q1576,238862,0,Corporate,Referral,Mixed,"5 (calls, visits)",6,PMKILONZO,High Priority
1478,2025-02-27,Consultation,Repair machinery,45575328,Christopher Williams,Evans and Sons,25,858,327,Q1577,346523,21,Reseller,Walk-in,Mixed,"3 (calls, visits)",11,PMNYABUTO,Medium Priority
1479,2024-09-07,Installation request,Upgrade system,49280129,Travis Richards,"Cook, Brock and Perkins",158,445,334,Q1578,155563,19,Contractor,Email,High-margin,"6 (calls, visits, emails)",15,PMAMAI,High Priority
1480,2025-04-28,Service call,Upgrade system,77642573,Kendra Yu,Lowe LLC,161,369,395,Q1579,157611,22,Individual,Referral,High-margin,"6 (calls, visits, emails)",3,PMNYABUTO,Medium Priority
1481,2024-11-22,Service call,Install product,41317047,Cynthia Castillo,Ford-Holland,69,369,395,Q1580,49413,23,Contractor,Email,High-margin,2 (calls),8,PMAMAI,Medium Priority
1482,2025-03-20,Consultation,Install product,65891206,Lisa Hudson,Sutton PLC,176,369,391,Q1581,83077,26,Corporate,Website,High-margin,"3 (calls, visits)",6,PMKILONZO,Medium Priority
1483,2024-05-11,Service call,Repair machinery,01863178,John Lawson,Farmer PLC,175,514,347,Q1582,195452,13,Reseller,Email,Low-margin,"3 (calls, visits)",14,PMNYABUTO,Medium Priority
1484,2025-01-20,Consultation,Repair machinery,53326858,Lynn Owens,"Perry, Freeman and Young",62,858,345,Q1583,123566,27,Corporate,Email,High-margin,"4 (calls, visits)",8,PMKILONZO,Medium Priority
1485,2024-06-30,Service call,Inspect equipment,49786056,Luis Harris,Campbell-Williamson,10,858,359,Q1584,108154,1,Contractor,Email,High-margin,"3 (calls, visits)",6,PMKILONZO,Medium Priority
1486,2024-09-15,Service call,Inspect equipment,85296815,Eric Hernandez,Peters-Roberts,46,445,335,Q1585,117830,13,Contractor,Shopify,Low-margin,"5 (calls, visits)",2,PMOMONDI,Medium Priority
1487,2024-11-23,Installation request,Inspect equipment,51439433,Richard Perry,Alvarez Group,87,369,357,Q1586,130342,22,NGO,Shopify,Mixed,"3 (calls, visits)",5,PMKILONZO,Low Priority
1488,2024-06-29,Service call,Upgrade system,49032014,Hayley Jones DDS,"Nichols, Mcdowell and Smith",44,514,399,Q1587,147904,20,Reseller,Shopify,High-margin,"5 (calls, visits)",4,PMAMAI,Medium Priority
1489,2024-12-10,Installation request,Inspect equipment,50317716,Emily Green,Wright LLC,143,445,388,Q1588,76817,8,Corporate,Referral,Low-margin,"6 (calls, visits, emails)",12,PMAMAI,Medium Priority
1490,2024-12-25,Service call,Install product,23675235,Linda Sanders,"Burns, Johnson and Hickman",71,445,332,Q1589,449521,7,Corporate,Referral,Mixed,"5 (calls, visits)",5,PMKILONZO,High Priority
1491,2024-07-24,Consultation,Install product,04247866,Darrell Snyder,"Cook, Sandoval and Burch",48,514,341,Q1590,427911,22,Government,Shopify,Low-margin,1 (visit),15,PMNYABUTO,Medium Priority
1492,2025-04-02,Service call,Install product,75925228,Ryan Levy,Stephens-Beck,88,858,332,Q1591,389918,25,NGO,Referral,High-margin,"4 (calls, visits)",11,PMAMAI,Medium Priority
1493,2025-01-10,Installation request,Upgrade system,29116892,Brian Knapp,"Yang, Gomez and Davis",169,369,331,Q1592,195244,1,NGO,FloApp,High-margin,2 (calls),10,PMKILONZO,Medium Priority
1494,2024-07-28,Service call,Upgrade system,26804781,Madison Johnson,"Galvan, King and Gallagher",153,514,388,Q1593,64986,3,Government,Walk-in,High-margin,1 (visit),6,PMKILONZO,Medium Priority
1495,2024-09-22,Installation request,Install product,98542709,Michelle Jefferson,Wilkinson-Campbell,36,106,356,Q1594,401664,4,Individual,Email,High-margin,"3 (calls, visits)",3,PMAMAI,Medium Priority
1496,2024-10-21,Installation request,Install product,01996930,Maria Mason,Holland Inc,160,858,315,Q1595,172016,20,Government,Shopify,Mixed,1 (visit),10,PMNYABUTO,Medium Priority
1497,2025-01-06,Consultation,Install product,33356623,Stephen Hughes,Wagner-Keller,33,445,376,Q1596,306485,23,Corporate,Walk-in,High-margin,"6 (calls, visits, emails)",8,PMOMONDI,Medium Priority
1498,2024-07-15,Service call,Install product,05561641,Peter Newton,"Moon, Gentry and Davidson",135,369,352,Q1597,490288,10,Contractor,Website,Low-margin,2 (calls),8,PMAMAI,Medium Priority
1499,2025-04-14,Installation request,Inspect equipment,19015842,Steve Perkins,Greene-Malone,101,858,371,Q1598,389872,5,Contractor,Email,High-margin,"6 (calls, visits, emails)",0,PMMULWA,High Priority
1500,2024-08-08,Service call,Repair machinery,35283165,Dr. Todd Preston,Jones LLC,50,369,394,Q1599,48700,23,Individual,Walk-in,Mixed,2 (calls),4,PMMULWA,Low Priority
1501,2024-11-30,Installation request,Install product,25733204,Robert Wallace,Phillips-Wright,179,858,328,Q1600,349348,4,Contractor,Website,Low-margin,"6 (calls, visits, emails)",6,PMMULWA,High Priority
1502,2024-07-17,Consultation,Inspect equipment,17146797,Meagan Williams,Lopez PLC,120,369,388,Q1601,58170,26,Individual,Shopify,High-margin,2 (calls),11,PMAMAI,Medium Priority
1503,2024-09-28,Consultation,Repair machinery,52392630,Kristina Johnson,"Moreno, Smith and Parker",117,514,310,Q1602,425774,5,Individual,Website,High-margin,1 (visit),13,PMNYABUTO,Medium Priority
1504,2025-01-11,Consultation,Repair machinery,04884786,Julie Thomas,Soto-Williams,78,106,391,Q1603,315978,28,Corporate,Referral,Mixed,"5 (calls, visits)",10,PMKILONZO,High Priority
1505,2025-01-31,Service call,Repair machinery,89368358,Kristin Solis,Pittman and Sons,124,858,322,Q1604,345313,26,Reseller,FloApp,High-margin,"5 (calls, visits)",6,PMAMAI,Medium Priority
1506,2025-04-10,Service call,Upgrade system,61475561,Diana Strickland,Baker-Cook,85,858,398,Q1605,305728,14,Contractor,Referral,High-margin,"6 (calls, visits, emails)",4,PMAMAI,High Priority
1507,2025-04-28,Service call,Install product,41748983,John Wilson,Hall LLC,153,858,350,Q1606,365606,18,Corporate,Email,Mixed,1 (visit),5,PMOMONDI,Medium Priority
1508,2025-01-10,Service call,Repair machinery,96334101,Marcus Owens,"Roman, Copeland and Colon",71,514,365,Q1607,474998,19,Government,Website,High-margin,"5 (calls, visits)",2,PMMULWA,Medium Priority
1509,2025-04-11,Consultation,Install product,37738051,Eric Rodriguez,Patton-Martin,76,445,342,Q1608,312785,4,Individual,Website,High-margin,2 (calls),4,PMNYABUTO,Medium Priority
1510,2024-09-09,Consultation,Install product,66439245,Angela Gray,Clark Ltd,142,369,379,Q1609,256917,2,Reseller,Email,Low-margin,1 (visit),10,PMKILONZO,Medium Priority
1511,2024-10-25,Service call,Inspect equipment,07540104,Jamie Frank,Schwartz-Rodriguez,96,514,304,Q1610,426331,0,Contractor,Email,Low-margin,"6 (calls, visits, emails)",0,PMAMAI,Medium Priority
1512,2025-01-25,Installation request,Repair machinery,49855325,Megan Hunt,"James, Smith and Stanley",173,106,310,Q1611,68323,22,Individual,Shopify,Mixed,1 (visit),14,PMOMONDI,Low Priority
1513,2025-02-02,Consultation,Inspect equipment,29316501,Angela Pratt,Coleman Inc,24,106,303,Q1612,402081,4,NGO,FloApp,High-margin,1 (visit),9,PMMULWA,Medium Priority
1514,2024-12-22,Installation request,Repair machinery,49354382,Eugene Gray,Garcia PLC,31,106,318,Q1613,339755,21,Government,Referral,High-margin,"4 (calls, visits)",2,PMNYABUTO,Medium Priority
1515,2024-06-15,Service call,Inspect equipment,39249951,James Sullivan,Thomas Inc,138,106,400,Q1614,47261,10,Reseller,Shopify,High-margin,"4 (calls, visits)",14,PMAMAI,Medium Priority
1516,2024-05-13,Service call,Install product,12673780,Christina Bowen,"Clark, French and Williams",10,445,331,Q1615,223126,11,Corporate,FloApp,High-margin,"6 (calls, visits, emails)",8,PMOMONDI,Medium Priority
